c:\users\work\appdata\roaming\python\python313\scripts\uv.exe run D:/P_work/Rag-VKR_copy/.venv/Scripts/python.exe D:\P_work\Rag-VKR_copy\src\rag_pipeline\run.py
2026-05-13 03:02:32.043 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:252 | Query 1 metrics: hit@1=0.000, mrr@10=0.000, ndcg@10=0.000
2026-05-13 03:02:32.043 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 2/100: 'Кто написал роман «Хижина дяди Тома»?'
2026-05-13 03:02:32.043 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'912a6f0d-d043-4765-b627-928e30d92dc8'}
2026-05-13 03:02:32.061 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['87132ee8-0da2-4c72-84c8-f410e6911da5', 'bb784d07-697e-44f3-80be-8165e4d0d183', '6d2ab56f-f5ac-421d-a460-c3897fd94ff6', '0fc8e5bb-238c-4c9e-9fd2-ec33031bba04', '8df2cce8-90dd-4a80-ad03-d1c4b49fe827']...
2026-05-13 03:02:32.061 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 17.30ms
2026-05-13 03:02:32.061 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:252 | Query 2 metrics: hit@1=0.000, mrr@10=0.000, ndcg@10=0.000
2026-05-13 03:02:32.061 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 3/100: 'Кто создал Зимний дворец в Санкт-Петербурге?'
2026-05-13 03:02:32.061 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'e6507dc1-b39d-4533-a740-d5d6e21dcc3e', 'ef29b127-63d1-4148-9366-dcb40cf27181'}
2026-05-13 03:02:32.099 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['0a8897be-5e27-42c0-b343-fc96b50d9ed5', '6ca99e5f-70b8-4326-bd58-08f4a9cbd17c', '6d2ab56f-f5ac-421d-a460-c3897fd94ff6', '8df2cce8-90dd-4a80-ad03-d1c4b49fe827', '0e7562f5-bfd2-464d-a538-3d9a5389e62d']...
2026-05-13 03:02:32.099 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 37.40ms
2026-05-13 03:02:32.099 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:252 | Query 3 metrics: hit@1=0.000, mrr@10=0.000, ndcg@10=0.000
2026-05-13 03:02:32.099 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 4/100: 'Какое современное государство занимает территорию, на которой находился древний ассирийский город Ниневия?'
2026-05-13 03:02:32.099 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'40de0b73-d86d-41f0-bab0-d19b3b2dcb47'}
2026-05-13 03:02:32.121 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['6ca99e5f-70b8-4326-bd58-08f4a9cbd17c', '0a8897be-5e27-42c0-b343-fc96b50d9ed5', '87132ee8-0da2-4c72-84c8-f410e6911da5', '6a9dcd71-b515-49d6-aa24-cffdef74e423', '2949cf74-035f-4953-9a99-dd5976675157']...
2026-05-13 03:02:32.121 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 21.57ms
2026-05-13 03:02:32.121 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 5/100: 'Как звали отца Северуса Снейпа?'
2026-05-13 03:02:32.121 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'395fb810-9ccf-47d6-968e-baacf11682bb', '7eefc676-b164-4781-a986-eb4f614b231b'}
2026-05-13 03:02:32.134 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['6ca99e5f-70b8-4326-bd58-08f4a9cbd17c', '0ecca8fc-e430-4905-89f4-e6e5daad9175', '6a9dcd71-b515-49d6-aa24-cffdef74e423', 'bb784d07-697e-44f3-80be-8165e4d0d183', 'c7ab8bd9-2fcb-419c-9866-ca8a775cfcd4']...
2026-05-13 03:02:32.134 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 13.36ms
2026-05-13 03:02:32.135 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 6/100: 'На каком языке сочиняет стихи Расул Гамзатов?'
2026-05-13 03:02:32.135 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'c382f4b3-78eb-4a4a-b90e-d6e608ab5d3f'}
2026-05-13 03:02:32.150 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['ef29b127-63d1-4148-9366-dcb40cf27181', 'ec91ce27-218b-4e03-b1ac-65153337066c', '84574ca6-e643-49d6-b6b4-8415b24083b1', 'c7ab8bd9-2fcb-419c-9866-ca8a775cfcd4', '9ed7462d-050d-4914-9a73-44894c85cfba']...
2026-05-13 03:02:32.150 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 15.20ms
2026-05-13 03:02:32.150 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 7/100: 'В какой стране живут кхмеры?'
2026-05-13 03:02:32.150 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'0e57a224-ef08-4864-a0a8-5be9988e22f8'}
2026-05-13 03:02:32.164 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['87132ee8-0da2-4c72-84c8-f410e6911da5', 'c7ab8bd9-2fcb-419c-9866-ca8a775cfcd4', '6ca99e5f-70b8-4326-bd58-08f4a9cbd17c', 'bb784d07-697e-44f3-80be-8165e4d0d183', '0a8897be-5e27-42c0-b343-fc96b50d9ed5']...
2026-05-13 03:02:32.164 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 14.05ms
2026-05-13 03:02:32.165 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 8/100: 'В какой стране находится гора Эверест?'
2026-05-13 03:02:32.165 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'87132ee8-0da2-4c72-84c8-f410e6911da5'}
2026-05-13 03:02:32.179 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['87132ee8-0da2-4c72-84c8-f410e6911da5', '6ca99e5f-70b8-4326-bd58-08f4a9cbd17c', 'c7ab8bd9-2fcb-419c-9866-ca8a775cfcd4', 'ef29b127-63d1-4148-9366-dcb40cf27181', '6a9dcd71-b515-49d6-aa24-cffdef74e423']...
2026-05-13 03:02:32.179 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 14.07ms
2026-05-13 03:02:32.179 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 9/100: 'В какой стране обитает кенгуру?'
2026-05-13 03:02:32.179 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'82022cdb-16b6-4277-820d-8e38a3b2c96a'}
2026-05-13 03:02:32.206 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['c7ab8bd9-2fcb-419c-9866-ca8a775cfcd4', '6a9dcd71-b515-49d6-aa24-cffdef74e423', 'ec91ce27-218b-4e03-b1ac-65153337066c', '87132ee8-0da2-4c72-84c8-f410e6911da5', '84d02774-d2f5-43bb-a57a-2e06fb9daefb']...
2026-05-13 03:02:32.206 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 27.22ms
2026-05-13 03:02:32.207 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 10/100: 'В каком американском штате находится Большой Каньон?'
2026-05-13 03:02:32.207 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'497a3c71-cc9b-4cb0-8958-fc7732657795'}
2026-05-13 03:02:32.230 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['bb784d07-697e-44f3-80be-8165e4d0d183', '0f6d7163-4874-4f41-b647-dc61bd1c179b', '87132ee8-0da2-4c72-84c8-f410e6911da5', '301aa594-83dc-40b7-aa62-ef48f25c952f', '89ddff09-8878-4332-a4eb-225ec3935793']...
2026-05-13 03:02:32.231 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 23.65ms
2026-05-13 03:02:32.231 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 11/100: 'В каком виде спорта прославился Е. Кафельников?'
2026-05-13 03:02:32.231 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'c9e97488-8010-4d90-8245-800f798e0302'}
2026-05-13 03:02:32.251 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['c7ab8bd9-2fcb-419c-9866-ca8a775cfcd4', '84574ca6-e643-49d6-b6b4-8415b24083b1', 'bb784d07-697e-44f3-80be-8165e4d0d183', '6a9dcd71-b515-49d6-aa24-cffdef74e423', '9ed7462d-050d-4914-9a73-44894c85cfba']...
2026-05-13 03:02:32.251 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 20.19ms
2026-05-13 03:02:32.251 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 12/100: 'В каком государстве находится город Сент-Питерсберг?'
2026-05-13 03:02:32.251 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'a138c553-8dc1-4142-8cb9-8b90db02e53f', '5497b8b5-c730-4d1a-b67f-02794652b56a'}
2026-05-13 03:02:32.283 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['2949cf74-035f-4953-9a99-dd5976675157', '87132ee8-0da2-4c72-84c8-f410e6911da5', '6ca99e5f-70b8-4326-bd58-08f4a9cbd17c', 'ec91ce27-218b-4e03-b1ac-65153337066c', '6a9dcd71-b515-49d6-aa24-cffdef74e423']...
2026-05-13 03:02:32.283 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 31.23ms
2026-05-13 03:02:32.283 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 13/100: 'В каком романе Франсуа Рабле главного героя сопровождал персонаж по имени Панург?'
2026-05-13 03:02:32.283 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'16465a5b-4aeb-4c04-bfc8-a6463a915486'}
2026-05-13 03:02:32.304 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['87132ee8-0da2-4c72-84c8-f410e6911da5', '16465a5b-4aeb-4c04-bfc8-a6463a915486', 'c7ab8bd9-2fcb-419c-9866-ca8a775cfcd4', 'ef29b127-63d1-4148-9366-dcb40cf27181', '6ca99e5f-70b8-4326-bd58-08f4a9cbd17c']...
2026-05-13 03:02:32.304 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 20.84ms
2026-05-13 03:02:32.304 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 14/100: 'В каком штате США расположена самая длинная пещера в мире (530 км) с забавным названием Флинт-Мамонтова?'
2026-05-13 03:02:32.304 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'89ddff09-8878-4332-a4eb-225ec3935793', '674621b9-4d98-4720-aa4b-33e1451c2f25'}
2026-05-13 03:02:32.327 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['9ed7462d-050d-4914-9a73-44894c85cfba', '301aa594-83dc-40b7-aa62-ef48f25c952f', '0e0d9e75-77ee-454b-8170-336f57831b9a', 'bb784d07-697e-44f3-80be-8165e4d0d183', '89ddff09-8878-4332-a4eb-225ec3935793']...
2026-05-13 03:02:32.327 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 23.01ms
2026-05-13 03:02:32.328 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 15/100: 'Где происходят действия романа "Отверженные" Виктора Гюго?'
2026-05-13 03:02:32.328 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'edf77d07-9e5c-47b6-8699-04e9f9a1493d'}
2026-05-13 03:02:32.344 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['ef29b127-63d1-4148-9366-dcb40cf27181', '87132ee8-0da2-4c72-84c8-f410e6911da5', 'ec91ce27-218b-4e03-b1ac-65153337066c', '2949cf74-035f-4953-9a99-dd5976675157', '6ca99e5f-70b8-4326-bd58-08f4a9cbd17c']...
2026-05-13 03:02:32.344 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 16.26ms
2026-05-13 03:02:32.344 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 16/100: 'К какой династии относился Ричард Львиное Сердце?'
2026-05-13 03:02:32.344 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'6044e8dc-b853-4b8b-bff7-3d9ca5324301', 'd22adf07-0cda-4f71-be17-a3abf714197f'}
2026-05-13 03:02:32.358 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['6d2ab56f-f5ac-421d-a460-c3897fd94ff6', '0fc8e5bb-238c-4c9e-9fd2-ec33031bba04', '6a9dcd71-b515-49d6-aa24-cffdef74e423', '7740f7a4-c1fc-4d7f-ba2e-717ac182a21a', '3d4a3fa5-8ea1-4bfe-a013-e57eac1e8b9e']...
2026-05-13 03:02:32.358 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 13.60ms
2026-05-13 03:02:32.358 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 17/100: 'Как звали коня Александра Македонского?'
2026-05-13 03:02:32.358 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'3d4a3fa5-8ea1-4bfe-a013-e57eac1e8b9e', '718a955c-63a6-4ef0-94a3-7f074b5ee54e', '2b109324-4477-4e6d-903a-7d851b6337bb'}
2026-05-13 03:02:32.391 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['bb784d07-697e-44f3-80be-8165e4d0d183', '0fc8e5bb-238c-4c9e-9fd2-ec33031bba04', '6ca99e5f-70b8-4326-bd58-08f4a9cbd17c', '6a9dcd71-b515-49d6-aa24-cffdef74e423', '4ed6eb34-6891-4338-9b59-2600f960e0ff']...
2026-05-13 03:02:32.391 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 32.40ms
2026-05-13 03:02:32.391 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 18/100: 'Как звали мать Александра Македонского?'
2026-05-13 03:02:32.391 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'9ed7462d-050d-4914-9a73-44894c85cfba', '38d365ee-1e32-438a-83b2-17fd621e27d9', 'b3dd26cf-856f-41d5-8f7a-555429a2b244'}
2026-05-13 03:02:32.407 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['6ca99e5f-70b8-4326-bd58-08f4a9cbd17c', 'bb784d07-697e-44f3-80be-8165e4d0d183', '6a9dcd71-b515-49d6-aa24-cffdef74e423', '87132ee8-0da2-4c72-84c8-f410e6911da5', 'c7ab8bd9-2fcb-419c-9866-ca8a775cfcd4']...
2026-05-13 03:02:32.407 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 15.39ms
2026-05-13 03:02:32.407 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 19/100: 'Как называется административный центр штата Аляска?'
2026-05-13 03:02:32.407 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'acc77636-f93f-48c3-b038-57d5f8270a9f', '14c2a297-41d8-4c5d-af77-f3b3c2b1c07e'}
2026-05-13 03:02:32.429 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['6a9dcd71-b515-49d6-aa24-cffdef74e423', '3d4a3fa5-8ea1-4bfe-a013-e57eac1e8b9e', 'bb784d07-697e-44f3-80be-8165e4d0d183', '0ecca8fc-e430-4905-89f4-e6e5daad9175', '0e7562f5-bfd2-464d-a538-3d9a5389e62d']...
2026-05-13 03:02:32.429 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 21.70ms
2026-05-13 03:02:32.429 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 20/100: 'Как называется столица Камбоджи?'
2026-05-13 03:02:32.429 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'66424000-2017-4d3f-8b3a-a13273f84ec7', '6ca99e5f-70b8-4326-bd58-08f4a9cbd17c'}
2026-05-13 03:02:32.470 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['c7ab8bd9-2fcb-419c-9866-ca8a775cfcd4', '8df2cce8-90dd-4a80-ad03-d1c4b49fe827', 'ec91ce27-218b-4e03-b1ac-65153337066c', '84d02774-d2f5-43bb-a57a-2e06fb9daefb', '87132ee8-0da2-4c72-84c8-f410e6911da5']...
2026-05-13 03:02:32.471 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 41.26ms
2026-05-13 03:02:32.471 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 21/100: 'Как называются деньги в Гондурасе?'
2026-05-13 03:02:32.471 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'2b41565b-1e35-4bd5-9cf7-2762b98ea1e0'}
2026-05-13 03:02:32.487 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['ef29b127-63d1-4148-9366-dcb40cf27181', 'c7ab8bd9-2fcb-419c-9866-ca8a775cfcd4', '84574ca6-e643-49d6-b6b4-8415b24083b1', '2949cf74-035f-4953-9a99-dd5976675157', '6a9dcd71-b515-49d6-aa24-cffdef74e423']...
2026-05-13 03:02:32.487 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 15.96ms
2026-05-13 03:02:32.487 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 22/100: 'Какой город на черноморском побережье назывался Кафа?'
2026-05-13 03:02:32.487 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'2a8a44be-e795-48d2-8da5-c8178f68f4c3'}
2026-05-13 03:02:32.507 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['c7ab8bd9-2fcb-419c-9866-ca8a775cfcd4', '84574ca6-e643-49d6-b6b4-8415b24083b1', '4ed6eb34-6891-4338-9b59-2600f960e0ff', 'ef29b127-63d1-4148-9366-dcb40cf27181', '0e7562f5-bfd2-464d-a538-3d9a5389e62d']...
2026-05-13 03:02:32.507 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 19.21ms
2026-05-13 03:02:32.507 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 23/100: 'Какой город расположен на южном берегу пролива Золотые Ворота?'
2026-05-13 03:02:32.507 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'0e0d9e75-77ee-454b-8170-336f57831b9a'}
2026-05-13 03:02:32.525 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:241 | Retrieved 10 chunk IDs: ['e9cc0865-e8ff-4c1d-aaba-4df7db0e5a49', 'bb784d07-697e-44f3-80be-8165e4d0d183', 'c7ab8bd9-2fcb-419c-9866-ca8a775cfcd4', '3d4a3fa5-8ea1-4bfe-a013-e57eac1e8b9e', 'df639246-3625-46f3-ace4-20b498f1d2fa']...
2026-05-13 03:02:32.525 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:242 | Latency: 18.36ms
2026-05-13 03:02:32.526 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:235 | Query 24/100: 'Какой город является административным центром штата Нью-Йорк?'
2026-05-13 03:02:32.526 | DEBUG    | rag_pipeline.evaluation.metrics:evaluate_strategy:236 | Relevant chunk IDs: {'05e942d9-704d-4dee-802b-1a0c00facebf'}
