experiment_id,timestamp,chunk_size,chunk_overlap,dense_model,use_bge_small,use_bge_m3,use_splade,top_k,rrf_k,strategy,k_values,success,error_message,latency_ms,total_queries,metrics_ndcg_at_k,metrics_f1_at_k,metrics_precision_at_k,metrics_mean_latency_ms,metrics_std_latency_ms,metrics_mrr_at_k,metrics_total_queries,metrics_recall_at_k,metrics_hit_at_k
rrf_k_30_0,2026-05-13T05:47:04.583243,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,30,hybrid_rrf,"[1, 3, 5, 10]",True,,471272.0939999999,18460,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",25.173972036839785,9.726722205611726,18460
rrf_k_60_1,2026-05-13T05:47:04.583248,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,hybrid_rrf,"[1, 3, 5, 10]",True,,472886.54900000256,18460,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",25.25440959374659,9.542540450589,18460
rrf_k_100_2,2026-05-13T05:47:04.583252,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,100,hybrid_rrf,"[1, 3, 5, 10]",True,,472650.3903000048,18460,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",25.242734626220287,9.295829734056177,18460
rrf_k_30_0,2026-05-13T07:22:49.775093,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,30,hybrid_rrf,"[1, 3, 5, 10]",True,,3583.791500001098,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",35.47776999999769,32.68696493909652,100
rrf_k_60_1,2026-05-13T07:22:49.775099,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,hybrid_rrf,"[1, 3, 5, 10]",True,,4200.314799993066,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",41.55566699948395,31.428468743710464,100
rrf_k_100_2,2026-05-13T07:22:49.775103,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,100,hybrid_rrf,"[1, 3, 5, 10]",True,,3002.81529998756,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",29.69684999989113,10.27485363778509,100
rrf_k_30_0,2026-05-13T07:30:42.988684,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,30,hybrid_rrf,"[1, 3, 5, 10]",True,,25000.99549999868,1000,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",24.681647800374776,16.691955254585245,1000
rrf_k_60_1,2026-05-13T07:30:42.988689,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,hybrid_rrf,"[1, 3, 5, 10]",True,,23325.612099986756,1000,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",23.01579680017312,9.37110533329966,1000
rrf_k_100_2,2026-05-13T07:30:42.988692,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,100,hybrid_rrf,"[1, 3, 5, 10]",True,,23827.754099998856,1000,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",23.512698899881798,12.805664103404435,1000
